Mansion,Date,City,State,Country,Tweet,Description,Latitude,Longitude
Alpha House,8/8/2020,San Fernando Valley,CA,USA,https://twitter.com/TaylorLorenz/status/1292970841077096450,"The Alpha House is made up of all 17 year old and 18 year old influencers living in a 6 bedroom mansion in the Valley. Its founder <a href=""https://twitter.com/TaylorLorenz/status/1292970841077096450"">said</a> they are focused on being the ""friendly"" collab house — the house also <a href=""https://twitter.com/defnoodles/status/1293292841196597248"">held</a> a party with around 150 members only three days after launching, according to Def Noodles.",34.1716876,-118.584772
Byte Squad,3/26/2020,London,UK,,https://www.youtube.com/watch?v=QMowPxJJ1_8,"The Byte Squad is made up of six UK Tiktok stars, and is the first collab house established outside of the U.S. It's also the first house to be established after quarantine orders became commonplace. The house was set up by a marketing agency called FanBytes. <br> The BBC <a href=""https://www.bbc.com/news/technology-52223908"">reported</a> that family members of the Tiktokers ""expressed reservations"" about the timing of the move.",51.5285578,-0.2420245
Clubhouse BH,4/5/2020,Beverly Hills,CA,USA,https://www.youtube.com/watch?v=MZc6xoO2RQ8,"Daisy Keech created the Clubhouse after a public falling out with the Hype House. According to neighbors, the Clubhouse has <a href=""https://bhcourier.com/2020/08/20/beverly-hills-investigates-local-tiktok-collab-house/"">held</a> gatherings with 100+ in attendance and is currently being investigated by authorities in Beverly Hills. <br> One member of the group — Charly Jordan — tested positive after a visit to Rwanda, but later claimed that it was a false positive. The house also <a href=""https://twitter.com/defnoodles/status/1293910946390237189"">held</a> a surprise birthday party for Keech on Aug. 12",34.0825439,-118.4346392
Clubhouse For The Boys,7/10/2020,Hollywood Hills,CA,USA,,"Clubhouse For The Boys, or Clubhouse FTB, is the second house to spawn out of Clubhouse BH (originally known as ""Clubhouse""). Izaak Presley, former Disney star and member of Clubhouse BH, formed Clubhouse FTB with three other male members from Clubhouse BH. <br> Although the house's launch started with a manufactured controversey of its founding members leaving Clubhouse BH, Presley <a href=""https://www.insider.com/isaak-presley-clubhouse-for-the-boys-tiktok-collab-house-2020-7"">said</a> their goal is ""not to be dramatic and be problematic."" The group is currently staying in a Hollywood Hills rental.",34.1132065,-118.3845458
Clubhouse Next,4/13/2020,Beverly Hills,CA,USA,https://www.youtube.com/watch?v=7BiC9LszJ-E,"Clubhouse Next is the sister house of Clubhouse BH, and is primarly for younger and up-and-coming influencers. Members of Clubhouse Next frequently collaborate and hang out with members of Clubhouse proper and the other sister houses.",33.786594,-118.298662
G.O.A.T. House,9/3/2020,Dublin,Ireland,Ireland,https://twitter.com/TaylorLorenz/status/1301595754423701504,"The G.O.A.T. house is made up of 10 Irish TikTokers, and is the second collab house established outside of the U.S. The house members have been <a href=""https://www.irishmirror.ie/showbiz/irish-showbiz/members-irelands-tiktok-goat-house-22633267"">criticized</a> by some Dubliners for seemingly violating government guidelines — in Ireland, you cannot have a group of more than 6 people from 3 different households.",53.3242377,-6.3861296
Halo House,9/17,Scottsdale,AZ,USA,https://twitter.com/TaylorLorenz/status/1307055371014615042,"The Halo House is one of the smaller content houses, with only four members — two of whom are a couple, and the other two are from out-of-state. The house is managed by Genfree Management. One of the house's members <a href=""https://www.youtube.com/watch?v=6RW3F-UsJT0"">said</a> that they have rented the mansion for three months.",33.6744664,-112.1386447
Jet House,9/1/2020,Costa Blanca,Spain,Spain,https://twitter.com/TaylorLorenz/status/1304558176579198976,"The Jet House is made up of 10 U.K. content creators, most of whom are 18-19 years old, and have moved to Spain. The Jet House is the first content house in which all of its members moved to a different country.",38.3651582,-0.8816431
Launch House,9/4/2020,Tulum,Mexico,Mexico,https://twitter.com/TaylorLorenz/status/1302280718186209281,"The Launch House consists of 19 entrepreneurs, and the creator has described it as more like ""Shark Tank"" and less like ""The Bachelor."" The members are mostly from San Francisco, and moved to Tulum, Mexico, where case counts are on the decline. One of the members, Phil, was last in NYC before moving to Tulum with the others, but has traveled to San Francisco and Cleveland since the start of quarantine.",20.2096191,-87.4894285
Not a Content House,8/4/2020,Bel Air,CA,USA,https://twitter.com/TaylorLorenz/status/1292972133061189632,"Not a Content House is an all-girls house, and its members include Madi Monroe, a former Miss NJ Teen USA and daughter of one of the Hype House's managers. Monroe recently came under fire for <a href=""https://twitter.com/defnoodles/status/1293910407153725447"">hosting</a> a party at the house celebrating 10M followers on tiktok.",34.1029071,-118.4935209
