House,Name,Image,ImageUrl,Key,City,State,Country,Left?,Latitude,Longitude,City.1,State.1,County,Zip,Country.1,Source,Mansion,Location
Alpha House,Sabrina Quesada,https://www.famousbirthdays.com/headshots/sabrina-quesada-2.jpg,Sabrina_Quesada.png,8,Pembroke Pines,FL,USA,,26.021239,-80.340396,Pembroke Pines,FL,Broward County,33028.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Alpha House,"San Fernando Valley, CA"
Alpha House,Karin Moskalensky,https://www.famousbirthdays.com/headshots/karin-moskalensky-2.jpg,Karin_Moskalensky.png,2,San Diego,CA,USA,,32.724103,-117.17091200000002,San Diego,CA,San Diego County,92101.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Alpha House,"San Fernando Valley, CA"
Alpha House,Adam Ian Cohen,https://www.famousbirthdays.com/headshots/adam-cohen-tvactor-1.jpg,Adam_Ian_Cohen.png,3,Beverly Hills,CA,USA,,33.786594,-118.298662,Beverly Hills,CA,Los Angeles County,90209.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Alpha House,"San Fernando Valley, CA"
Alpha House,Sydney Vézina,https://www.famousbirthdays.com/headshots/sydney-v--zina-3.jpg,Sydney_Vezina.png,1,Los Angeles,CA,USA,,33.973951,-118.248405,Los Angeles,CA,Los Angeles County,90001.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Alpha House,"San Fernando Valley, CA"
Alpha House,Peyton Jordan,https://www.famousbirthdays.com/headshots/peyton-jord-2.jpg,Peyton_Jordan.png,4,Las Vegas,NV,USA,,36.17372,-115.10647,Las Vegas,NV,Clark County,89101.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Alpha House,"San Fernando Valley, CA"
Alpha House,Jay Ulloa,https://www.famousbirthdays.com/faces/ulloa-jay-image.jpg,Jay_Ulloa.png,9,Sacramento,CA,USA,,38.380456,-121.555406,Sacramento,CA,Sacramento County,94203.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Alpha House,"San Fernando Valley, CA"
Alpha House,Michelle Wozniak,https://www.famousbirthdays.com/headshots/michelle-wozniak-4.jpg,Michelle_Wozniak.png,6,Avon,OH,USA,left,41.448492,-82.01986600000002,Avon,OH,Lorain County,44011.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Alpha House,"San Fernando Valley, CA"
Alpha House,Emily Nicol,https://www.famousbirthdays.com/headshots/xanaxbarbie69-3.jpg,Emily_Nicol.png,5,North Providence,RI,USA,,41.8501,-71.46616999999998,North Providence,RI,Providence County,2911.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Alpha House,"San Fernando Valley, CA"
Alpha House,Ajani Huff,https://www.famousbirthdays.com/faces/huff-ajani-image.jpg,Ajani_Huff.png,7,Union Springs,NY,USA,,42.83979,-76.69328,Union Springs,NY,Cayuga County,13160.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Alpha House,"San Fernando Valley, CA"
Byte Squad,SebbyJon,https://www.famousbirthdays.com/faces/sebbyjon-image.jpg,SebbyJon.png,15,Isle of Wight,England,,,50.6707725,-1.6087711999999998,England,AR,Lonoke County,72046.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Byte Squad,"London, UK"
Byte Squad,Shauni,https://www.famousbirthdays.com/headshots/shauni-kibby-5.jpg,Shauni.png,17,Somerset,England,,,51.075575,-3.6038992,England,AR,Lonoke County,72046.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Byte Squad,"London, UK"
Byte Squad,Monty Keates,https://www.famousbirthdays.com/headshots/monty-keates-6.jpg,Monty_Keates.png,13,London,England,England,,51.528308,-0.3817766,England,AR,Lonoke County,72046.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Byte Squad,"London, UK"
Byte Squad,Emily Steers,https://www.famousbirthdays.com/faces/emily-steers-image.jpg,Emily_Steers.png,11,London,England,England,,51.5285578,-0.2420245,England,AR,Lonoke County,72046.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Byte Squad,"London, UK"
Byte Squad,Lily Rose,https://www.famousbirthdays.com/faces/itslilyrose-image.jpg,Lily_Rose.png,14,London,England,England,,51.536089,-0.1604776,England,AR,Lonoke County,72046.0,US,TIGER/LineÅ’Â¬ dataset from the US Census Bureau,Byte Squad,"London, UK"
